	Endodermis	Trichoblast	Columella	Phloem Pole Pericycle	Metaphloem & Companion Cell	Cortex	Lateral Root Cap	Atrichoblast	Xylem Pole Pericycle	Procambium	Protoxylem	Metaxylem	Protophloem
AT1G02410	0.17800628	0.12597165	0.17839985	0.116773866	0.18905948	0.17346017	0.23367943	0.1524535	0.14014414	0.118464515	0.05097943	0.14083688	0.17746127
AT1G02430	0.0042277537	0.0017577286	0.006951447	0.0013257733	0.0	0.0013619071	0.017954437	0.010384757	0.0023367768	0.0028984756	0.0	0.0	0.0
AT1G02440	0.002046108	0.005204617	0.0037567068	0.0	0.0	0.0	0.011358342	0.020607963	0.0012354886	0.0	0.0	0.0	0.0
AT1G02450	0.00022904995	0.0003359053	0.0020108318	0.0025165959	0.003493058	0.00074282737	0.0037892216	0.0006316594	0.014415935	0.013978536	0.041245423	0.019996228	0.0070017884
AT1G02460	0.0026969975	0.0016699244	0.0021622665	0.005140251	0.0012273814	0.0038302175	0.0014298472	0.0021609948	0.32255143	0.008410745	0.010509585	0.0	0.0
AT1G02475	0.0036475519	0.0010009478	0.014609184	0.016390344	0.0102611445	0.012029074	0.008477455	0.005478411	0.021465255	0.0038078725	0.00867106	0.0023248454	0.0
AT1G02490	0.0010383099	0.0001338884	0.0	0.0	0.0	0.00018627087	0.0032001773	0.0010724468	0.00049526966	0.0012639677	0.0	0.0	0.0
AT1G02500	3.0897572	1.8015896	1.2409321	3.1452768	1.8496752	2.1821465	1.5523779	1.6006743	3.6803803	3.457834	2.4850085	3.2269278	2.4543629
AT1G02520	0.041953024	0.16931207	0.43012708	0.007311191	0.018054463	0.10000789	0.3234158	0.27982718	0.02106996	0.018098751	0.072900444	0.069065474	0.018001918
AT1G02530	0.00015078134	0.0	0.006643971	0.0	0.0	0.0	0.0012092493	0.00039278434	0.00020552136	0.00045343488	0.00065974303	0.0	0.0
AT1G02560	0.20158432	0.104170926	0.1944653	0.2263088	0.21054311	0.16336884	0.3239179	0.12501404	0.35190886	0.19716027	0.12610659	0.23268361	0.1556884
AT1G02570	0.0023573407	0.26893294	0.012443527	0.003587354	0.0	0.00069188303	0.0036234423	0.004440434	0.0044719176	0.002431498	0.008014172	0.0	0.0
AT1G02575	0.0016124292	0.061952174	0.0009808781	0.0	0.0076846196	0.0	0.0022670215	0.02326294	0.00018366656	0.0016154207	0.0	0.0	0.0
